```
Datum,Fahrer/in,Km Ende,Bemerkung
03.09.23,Eva,56133,
04.09.23,Eva,56172,
05.09.23,Eva,56208,
06.09.23,Markus,56239,
07.09.23,Eva,56248,
09.09.23,Markus,56362,
19.09.23,Eva,56475,aufgetankt 356442km
24.09.23,Markus,56572,Danke
29.09.23,Eva,56594,
02.10.23,Eva,56692,
06.10.23,Eva,56702,
08.10.23,Markus,56609,
12.10.23,Eva,56733,
19.10.23,Eva,56737,
24.10.23,Eva,56789,
28.10.23,Eva,56797,
29.10.23,Markus,56864,
31.10.23,Eva,56944,
01.11.23,Eva,56950,
02.11.23,Eva,56956,
04.11.23,Eva,56970,
11.11.23,Markus,56999,
05.11.23,Eva,57046,
08.11.23,Eva,57067,
14.11.23,Eva,57125,
17.11.23,Eva,57188,aufgetankt
22.11.23,Eva,57203,
25.11.23,Markus,57223,
26.11.23,Eva,57377,
29.11.23,Eva,57388,
30.11.23,Markus,57457,
02.12.23,Markus,57396,
07.12.23,Eva,57450,
10.12.23,Markus,57460,
11.12.23,Markus,57478,
12.12.23,Eva,57555,
13.12.23,Eva,57625,
14.12.23,Markus,57663,
15.12.23,Eva,57666,
16.12.23,Markus,57684,
18.12.23,Markus,57735,
19.12.23,Eva,57795,e Vignette gelöst für 2014
21.12.23,Markus,57774,Brettung im Bordbuch
22.12.23,Eva,57777,
23.12.23,Markus,57779,Ich werde nach den Festtagen auftanken Frohe Festtage und alles Gute!
24.12.23,Eva,57843,
26.12.23,Markus,57893,
28.12.23,Markus,57923,
29.12.23,Markus,57980,
01.01.24,Markus,58041,aufgetankt
```
